BGGId,Name,YearPublished,GameWeight,BayesAvgRating,MinPlayers,MaxPlayers,MfgPlaytime,MfgAgeRec,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens
266192,Wingspan,2019,2.4387,7.9413,1,5,70,10,0,0,1,0,1,0,0,0,0
266219,Tiny Epic Zombies: Deluxe Edition,2018,2.0667,6.11241,1,5,30,14,1,0,0,0,0,0,0,0,0
266259,Caffeine Hit,2018,1.5,5.50438,2,6,20,12,0,0,0,0,0,0,0,0,0
266266,Murder Mystery Party Case Files: Death in Antarctica,2017,2,5.62275,1,6,180,13,0,0,0,0,0,0,0,0,0
266304,MegaCity: Oceania,2019,2,5.80761,2,4,60,8,0,0,0,0,0,0,0,0,0
266308,100% Beef Showdown,2018,0,5.5014,2,4,30,14,0,0,0,0,0,0,0,0,0
266381,ZU Tiles: Hime Starter Set 1,2020,1.5,5.52232,2,4,50,10,0,0,0,0,0,0,0,0,0
266421,Ubongo! Fun-Size Edition,2018,0,5.52445,1,4,15,7,0,0,0,0,0,0,0,0,0
266444,Sherlock: 13 Hostages,2018,2,5.74753,1,8,60,8,0,0,0,0,0,0,0,0,0
266445,Sherlock: Propagation,2018,1.6,5.76223,1,8,60,8,0,0,0,0,0,0,0,0,0
266446,Sherlock: Paradero Desconocido,2018,1.8333,5.74256,1,8,60,8,0,0,0,0,0,0,0,0,0
266447,Greenland (Third Edition),2018,3.5714,5.82321,1,4,120,12,1,0,0,0,0,0,0,0,0
266448,Imperium: The Contention,2021,2.8889,5.70207,1,6,120,14,1,0,0,0,0,0,0,0,0
266460,Yinzi,2019,4.1707,5.8196,2,4,180,12,0,0,1,0,0,0,0,0,0
266504,Dig Your Way Out,2019,1.9286,5.88593,2,6,45,14,1,0,0,0,0,0,0,0,0
266507,Clank!: Legacy – Acquisitions Incorporated,2019,2.7,7.81653,2,4,120,13,0,1,0,0,0,0,0,0,0
266524,PARKS,2019,2.1587,7.46285,1,5,60,10,1,0,0,0,1,0,0,0,0
266525,Yoz,2019,1.1429,5.51347,1,4,0,7,1,0,0,0,0,0,0,0,0
266538,Aftershock: San Francisco & Venice,2019,2.3333,5.58855,2,5,60,14,1,0,0,0,0,0,0,0,0
266564,Dawn of Mankind,2019,2.3,5.70012,2,5,60,14,0,0,0,0,0,0,0,0,0
266651,Tangled Timelines,2021,2,5.50091,1,4,30,13,1,0,0,0,0,0,0,0,0
266652,Raid on Takao,2019,2.3333,5.51701,2,6,90,15,1,0,0,0,0,0,0,0,0
266722,Rumble Nation,2017,1.92,5.87846,2,4,40,10,0,0,1,0,0,0,0,0,0
266744,Rick and Morty: Look Who's Purging Now Card Game,2019,1,5.50972,2,4,30,0,0,0,0,0,0,0,0,0,0
266747,Challenge of the Superfriends Card Game,2019,1.25,5.50458,2,4,0,0,0,0,0,0,0,0,0,0,0
266756,Devil Boats: PT Boats in the Solomons,2021,2.75,5.53708,1,1,60,14,0,0,0,1,0,0,0,0,0
266769,Jinja,2021,2,5.52249,2,5,60,14,0,0,0,0,0,0,0,0,0
266771,Too Many Poops,2018,1.2,5.5816,2,6,30,8,1,0,0,0,0,0,0,0,0
266802,Escape Room: The Game – Jumanji,2018,2.6,5.62061,3,5,60,10,0,0,0,0,0,0,0,0,0
266810,Paladins of the West Kingdom,2019,3.6889,7.6517,1,4,120,12,1,0,1,0,0,0,0,0,0
266830,Q.E.,2019,1.6591,6.69674,3,5,45,8,1,0,1,0,1,0,0,1,0
266842,The Walking Dead: Something to Fear,2019,0,5.51609,2,6,40,12,0,0,0,0,0,0,0,0,0
266936,Slyville,2019,1.6667,5.55352,3,5,60,10,1,0,0,0,0,0,0,0,0
266938,Smash Up: World Tour – International Incident,2019,2.5,5.7433,2,2,45,14,0,0,0,0,0,0,0,0,0
266940,Widget Ridge,2019,2,5.53549,1,2,45,12,1,0,0,0,0,0,0,0,0
266964,Dice Throne: Season Two – Seraph v. Vampire Lord,2018,2.125,6.05008,2,2,40,8,1,0,0,0,0,0,0,0,0
266965,Dice Throne: Season Two – Tactician v. Huntress,2018,2.3333,6.08749,2,2,40,8,1,0,0,0,0,0,0,0,0
266966,Dice Throne: Season Two – Gunslinger v. Samurai,2018,2.1818,6.20497,2,2,40,8,1,0,0,0,0,0,0,0,0
266967,Dice Throne: Season Two – Cursed Pirate v. Artificer,2018,2.625,6.06955,2,2,40,8,1,0,0,0,0,0,0,0,0
266968,Struggle for Europe 1939 - 1945,2019,2.4,5.54545,2,2,120,10,1,0,0,1,0,0,0,0,0
266980,Steamopolis,2019,3.5556,5.59693,1,4,100,12,1,0,0,0,0,0,0,0,0
